,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,,
,,USB Interface REV 1 [1-FTDH63QW],,,,,,,,,,,,,,
,,USB Interface REV 2 [2-FTV64L2L],,,,,,,,,,,,,,
,     Experiment Name: Wolff_2-18-17,,,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,,
,     Start Time: 2/18/2017 12:22:59,,,,,,,,,,,,,,,
,     Stop Time: ~2/28/2017 12:22:59,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15
Counter/Animal ID, , , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 2/18/2017 12:23:00,,,,,,,,,,,,,,,,
Interval Count,10.46,0,24.32,1.37,0.25,14.07,0,0,0,3.3,0,3.67,0,49.25,0.24,1.21
Average m/min.,4.19,0,9.73,0.55,0.1,5.62,0,0,0,1.32,0,1.47,0,19.7,0.1,0.48
Distance,15.44,0.43,139.21,8.2,60.23,140.43,0.24,18.35,39.49,23.21,70,9.89,21.7,102.13,25.22,95.67
Total Counts,38.59,1.08,348.03,20.5,150.58,351.08,0.59,45.87,98.72,58.03,175,24.72,54.25,255.32,63.04,239.18
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:39:00,,,,,,,,,,,,,,,,
Interval Count,11.42,0,53.18,1.24,6.07,8.51,0,1.14,0,0,0,7.93,0.62,0,0,34.5
Average m/min.,4.57,0,21.27,0.49,2.43,3.41,0,0.46,0,0,0,3.17,0.25,0,0,13.8
Distance,20.01,0.43,160.48,8.69,62.66,143.84,0.24,18.81,39.49,23.21,70,13.06,21.95,102.13,25.22,109.47
Total Counts,50.01,1.08,401.21,21.74,156.64,359.59,0.59,47.01,98.72,58.03,175,32.66,54.87,255.32,63.04,273.68
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:40:00,,,,,,,,,,,,,,,,
Interval Count,10.38,0.01,27.89,2.09,0.12,33.76,0,0.14,0,1.64,0.05,6.26,8.33,0,0,26.26
Average m/min.,4.15,0.01,11.15,0.84,0.05,13.48,0,0.05,0,0.66,0.02,2.51,3.33,0,0,10.5
Distance,24.16,0.44,171.64,9.53,62.71,157.34,0.24,18.86,39.49,23.87,70.02,15.57,25.28,102.13,25.22,119.98
Total Counts,60.39,1.09,429.11,23.83,156.76,393.36,0.59,47.16,98.72,59.67,175.05,38.92,63.2,255.32,63.04,299.95
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:41:00,,,,,,,,,,,,,,,,
Interval Count,22.07,0,58.37,1.05,10.49,4.76,0,0.03,21.57,12.08,0.79,3.13,2.54,17.18,0.68,52.08
Average m/min.,8.82,0,23.36,0.42,4.19,1.91,0,0.01,8.63,4.83,0.32,1.25,1.01,6.87,0.27,20.84
Distance,32.98,0.44,194.99,9.95,66.9,159.25,0.24,18.87,48.12,28.7,70.34,16.82,26.29,109,25.49,140.81
Total Counts,82.46,1.09,487.47,24.88,167.25,398.12,0.59,47.18,120.29,71.75,175.84,42.05,65.74,272.5,63.72,352.03
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 12:42:00,,,,,,,,,,,,,,,,
Interval Count,0,0,55.2,0,24.49,10.08,0,0.05,8.97,4.29,20.04,1.45,4.95,17.82,13.03,44.37
Average m/min.,0,0,22.06,0,9.78,4.03,0,0.02,3.59,1.72,8.01,0.58,1.98,7.13,5.21,17.73
Distance,32.98,0.44,217.07,9.95,76.69,163.28,0.24,18.89,51.71,30.42,78.35,17.4,28.27,116.13,30.7,158.56
