Test	Animal	Treatment	Code	Stage	Trial	Apparatus	Segment of test	Duration	Distance	Mean speed	Line crossings	Max speed	A : entries	A : time	A : distance	A : average speed	A : mean visit	A : mean distance to border	A : time getting closer to zone	A : time getting further from zone	B : entries	B : time	B : distance	B : average speed	B : mean visit	B : mean distance to border	B : time getting closer to zone	B : time getting further from zone	C : entries	C : time	C : distance	C : average speed	C : mean visit	C : mean distance to border	C : time getting closer to zone	C : time getting further from zone	A0 : entries	A0 : time	A0 : mean distance to border	A0 : time getting closer to zone	A0 : time getting further from zone	Center : entries	Center : time	Center : time getting closer to zone	Center : time getting further from zone	Group
4	4	A	A	First stage	1	Y Maze Wolff	232 - 233 secs.	1.0	0.055	0.055	1	0.077	0	0.0	0.000				1.0	0.0	0	0.9	0.029	0.036	0.9	0.021	0.0	0.1	0	0.0	0.000				0.9	0.1	0	0.0		1.0	0.0	1	0.1	0.8	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	233 - 234 secs.	1.0	0.031	0.031	0	0.071	0	0.0	0.000				0.6	0.1	0	0.0	0.000				0.1	0.7	0	0.0	0.000				0.7	0.1	0	0.0		0.5	0.1	0	1.0	0.0	0.0	Sham
4	4	A	A	First stage	1	Y Maze Wolff	234 - 235 secs.	1.0	0.076	0.076	1	0.129	0	0.0	0.000				0.1	0.6	0	0.0	0.000				0.0	0.9	1	0.4	0.027	0.193	0.4	0.013	0.4	0.0	0	0.0		0.1	0.5	0	0.6	0.0	0.4	Sham
4	4	A	A	First stage	1	Y Maze Wolff	235 - 236 secs.	1.0	0.126	0.126	0	0.152	0	0.0	0.000				0.0	0.9	0	0.0	0.000				0.0	0.9	0	1.0	0.126	0.102	1.0	0.022	0.0	0.0	0	0.0		0.0	0.9	0	0.0	0.0	0.9	Sham
4	4	A	A	First stage	1	Y Maze Wolff	236 - 237 secs.	1.0	0.000	0.000	0	0.075	0	0.0	0.000				0.7	0.2	0	0.0	0.000				0.7	0.2	0	1.0	0.000	0.000	1.0	0.019	0.0	0.0	0	0.0		0.7	0.2	0	0.0	0.7	0.2	Sham
4	4	A	A	First stage	1	Y Maze Wolff	237 - 238 secs.	1.0	0.000	0.000	0	0.068	0	0.0	0.000				0.2	0.6	0	0.0	0.000				0.2	0.6	0	1.0	0.000	0.026	1.0	0.024	0.0	0.0	0	0.0		0.3	0.5	0	0.0	0.2	0.6	Sham
4	4	A	A	First stage	1	Y Maze Wolff	238 - 239 secs.	1.0	0.000	0.000	0	0.045	0	0.0	0.000				0.2	0.2	0	0.0	0.000				0.2	0.2	0	1.0	0.000	0.023	1.0	0.032	0.0	0.0	0	0.0		0.2	0.2	0	0.0	0.2	0.2	Sham
4	4	A	A	First stage	1	Y Maze Wolff	239 - 240 secs.	1.0	0.025	0.025	0	0.041	0	0.0	0.000				0.5	0.5	0	0.0	0.000				0.5	0.5	0	1.0	0.025	0.052	1.0	0.035	0.0	0.0	0	0.0		0.5	0.5	0	0.0	0.5	0.5	Sham
4	4	A	A	First stage	1	Y Maze Wolff	240 - 241 secs.	1.0	0.025	0.025	0	0.069	0	0.0	0.000				0.3	0.5	0	0.0	0.000				0.3	0.5	0	1.0	0.025	0.061	1.0	0.034	0.0	0.0	0	0.0		0.3	0.5	0	0.0	0.3	0.5	Sham
4	4	A	A	First stage	1	Y Maze Wolff	241 - 242 secs.	1.0	0.023	0.023	0	0.044	0	0.0	0.000				0.6	0.3	0	0.0	0.000				0.6	0.3	0	1.0	0.023	0.035	1.0	0.029	0.0	0.0	0	0.0		0.4	0.5	0	0.0	0.6	0.3	Sham
