Test	Animal	Time	Date	Segment of test	Whole arena : distance	Whole arena : average speed	Whole arena : time mobile	Whole arena : time immobile	10 cm edge : time	10 cm edge : distance	10 cm edge : average speed	10 cm edge : time mobile	10 cm edge : time immobile	Center : time	Center : distance	Center : average speed	Center : time mobile	Center : time immobile	ID
19	38	16:09	10/17/2016	1045 - 1050 secs.	0.095	0.03	2.3	2.7	5	0.095	0.03	2.3	2.7	0	0		0	0	38
20	39	16:09	10/17/2016	1045 - 1050 secs.	0.025	0.019	1.3	3.7	5	0.025	0.019	1.3	3.7	0	0		0	0	39
1	20	13:19	10/17/2016	1050 - 1055 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	20
2	21	13:19	10/17/2016	1050 - 1055 secs.	0.167	0.038	5	0	0	0		0	0	5	0.167	0.038	5	0	21
3	22	13:20	10/17/2016	1050 - 1055 secs.	0.225	0.063	5	0	0	0		0	0	5	0.225	0.063	5	0	22
4	23	13:20	10/17/2016	1050 - 1055 secs.	0.242	0.056	5	0	3.4	0.155	0.074	3.4	0	1.6	0.087	0.016	1.6	0	23
5	24	14:03	10/17/2016	1050 - 1055 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	24
6	25	14:04	10/17/2016	1050 - 1055 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	25
7	26	14:04	10/17/2016	1050 - 1055 secs.	0.1	0.044	2.2	2.8	5	0.1	0.025	2.2	2.8	0	0		0	0	26
8	27	14:04	10/17/2016	1050 - 1055 secs.	0.224	0.045	2.3	2.7	3.7	0.146	0.046	1.8	2	1.3	0.078	0.04	0.5	0.7	27
9	28	14:43	10/17/2016	1050 - 1055 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	28
10	29	14:43	10/17/2016	1050 - 1055 secs.	0.163	0.039	1.6	3.4	5	0.163	0.035	1.6	3.4	0	0		0	0	29
11	30	14:44	10/17/2016	1050 - 1055 secs.	0.19	0.046	3.3	1.7	5	0.19	0.046	3.3	1.7	0	0		0	0	30
12	31	14:44	10/17/2016	1050 - 1055 secs.	0.361	0.076	5	0	3.8	0.158	0.071	3.8	0	1.2	0.203	0.091	1.2	0	31
13	32	15:23	10/17/2016	1050 - 1055 secs.	0.362	0.088	5	0	2	0.242	0.13	2	0	3	0.12	0.06	3	0	32
14	33	15:23	10/17/2016	1050 - 1055 secs.	0.292	0.076	5	0	1.8	0.077	0.054	1.8	0	3.2	0.215	0.089	3.2	0	33
15	34	15:24	10/17/2016	1050 - 1055 secs.	0.025	0.015	0.5	4.5	1.7	0.025	0	0.3	1.4	3.3	0	0.023	0.2	3.1	34
16	35	15:24	10/17/2016	1050 - 1055 secs.	0.132	0.032	2	3	5	0.132	0.032	2	3	0	0		0	0	35
17	36	16:08	10/17/2016	1050 - 1055 secs.	0.387	0.092	5	0	2.4	0.31	0.15	2.4	0	2.6	0.077	0.038	2.6	0	36
18	37	16:08	10/17/2016	1050 - 1055 secs.	0.229	0.069	5	0	5	0.229	0.069	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	1050 - 1055 secs.	0.025	0.02	0.8	4.2	5	0.025	0.02	0.8	4.2	0	0		0	0	38
20	39	16:09	10/17/2016	1050 - 1055 secs.	0.452	0.098	5	0	4.8	0.372	0.085	4.8	0	0.2	0.08	0.506	0.2	0	39
1	20	13:19	10/17/2016	1055 - 1060 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	20
2	21	13:19	10/17/2016	1055 - 1060 secs.	0.233	0.05	2.6	2.4	3.6	0.104	0.04	1.2	2.4	1.4	0.129	0.076	1.4	0	21
3	22	13:20	10/17/2016	1055 - 1060 secs.	0.162	0.032	5	0	1.9	0.053	0.042	1.9	0	3.1	0.109	0.026	3.1	0	22
4	23	13:20	10/17/2016	1055 - 1060 secs.	0.084	0.022	5	0	5	0.084	0.022	5	0	0	0		0	0	23
5	24	14:03	10/17/2016	1055 - 1060 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	24
6	25	14:04	10/17/2016	1055 - 1060 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	25
7	26	14:04	10/17/2016	1055 - 1060 secs.	0.238	0.047	5	0	5	0.238	0.047	5	0	0	0		0	0	26
8	27	14:04	10/17/2016	1055 - 1060 secs.	0.128	0	2	3	5	0.128	0	2	3	0	0		0	0	27
9	28	14:43	10/17/2016	1055 - 1060 secs.	0	0.012	0	5	5	0	0.012	0	5	0	0		0	0	28
10	29	14:43	10/17/2016	1055 - 1060 secs.	0.023	0.005	4.3	0.7	0.6	0	0	0.2	0.5	4.4	0.023	0.005	4.2	0.2	29
11	30	14:44	10/17/2016	1055 - 1060 secs.	0.03	0.021	1.4	3.6	5	0.03	0.021	1.4	3.6	0	0		0	0	30
12	31	14:44	10/17/2016	1055 - 1060 secs.	0.107	0.033	2.5	2.5	5	0.107	0.033	2.5	2.5	0	0		0	0	31
13	32	15:23	10/17/2016	1055 - 1060 secs.	0.202	0.054	1.7	3.3	5	0.202	0.054	1.7	3.3	0	0		0	0	32
14	33	15:23	10/17/2016	1055 - 1060 secs.	0.226	0.058	5	0	3.3	0.095	0.045	3.3	0	1.7	0.131	0.083	1.7	0	33
15	34	15:24	10/17/2016	1055 - 1060 secs.	0.023	0.01	0	5	0.3	0	0	0	0.3	4.7	0.023	0.011	0	4.7	34
16	35	15:24	10/17/2016	1055 - 1060 secs.	0.025	0.022	4	1	5	0.025	0.022	4	1	0	0		0	0	35
17	36	16:08	10/17/2016	1055 - 1060 secs.	0.326	0.08	5	0	3.3	0.23	0.077	3.3	0	1.7	0.096	0.088	1.7	0	36
18	37	16:08	10/17/2016	1055 - 1060 secs.	0.106	0.039	5	0	5	0.106	0.039	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	1055 - 1060 secs.	0.058	0.029	1.8	3.2	5	0.058	0.029	1.8	3.2	0	0		0	0	38
20	39	16:09	10/17/2016	1055 - 1060 secs.	0.386	0.084	4.7	0.3	4.8	0.356	0.073	4.5	0.3	0.2	0.03	0.434	0.2	0	39
1	20	13:19	10/17/2016	1060 - 1065 secs.	0	0.004	0	5	5	0	0.004	0	5	0	0		0	0	20
2	21	13:19	10/17/2016	1060 - 1065 secs.	0.122	0.039	2.8	2.2	5	0.122	0.039	2.8	2.2	0	0		0	0	21
3	22	13:20	10/17/2016	1060 - 1065 secs.	0.058	0.021	1.9	3.1	5	0.058	0.021	1.9	3.1	0	0		0	0	22
4	23	13:20	10/17/2016	1060 - 1065 secs.	0.224	0.051	5	0	1.5	0.025	0.028	1.5	0	3.5	0.199	0.06	3.5	0	23
5	24	14:03	10/17/2016	1060 - 1065 secs.	0	0.016	2.9	2.1	5	0	0.016	2.9	2.1	0	0		0	0	24
6	25	14:04	10/17/2016	1060 - 1065 secs.	0.02	0.008	0.1	4.9	0	0		0	0	5	0.02	0.004	0.1	4.9	25
7	26	14:04	10/17/2016	1060 - 1065 secs.	0.023	0.005	1.9	3.1	5	0.023	0.005	1.9	3.1	0	0		0	0	26
8	27	14:04	10/17/2016	1060 - 1065 secs.	0.023	0	0.8	4.2	5	0.023	0	0.8	4.2	0	0		0	0	27
9	28	14:43	10/17/2016	1060 - 1065 secs.	0	0.009	0	5	5	0	0.009	0	5	0	0		0	0	28
10	29	14:43	10/17/2016	1060 - 1065 secs.	0.362	0.076	3.2	1.8	2.2	0.07	0.039	0.4	1.8	2.8	0.292	0.106	2.8	0	29
11	30	14:44	10/17/2016	1060 - 1065 secs.	0.13	0.028	2.2	2.8	5	0.13	0.028	2.2	2.8	0	0		0	0	30
12	31	14:44	10/17/2016	1060 - 1065 secs.	0.295	0.069	5	0	0.3	0.055	0	0.3	0	4.7	0.24	0.074	4.7	0	31
13	32	15:23	10/17/2016	1060 - 1065 secs.	0.265	0.065	3.8	1.2	4.7	0.239	0.064	3.6	1.2	0.3	0.026	0.08	0.3	0	32
14	33	15:23	10/17/2016	1060 - 1065 secs.	0.165	0.049	5	0	2.1	0.072	0.063	2.1	0	2.9	0.093	0.04	2.9	0	33
15	34	15:24	10/17/2016	1060 - 1065 secs.	0.319	0.08	2.8	2.2	3.5	0.294	0.09	2.6	0.9	1.5	0.025	0.055	0.2	1.3	34
16	35	15:24	10/17/2016	1060 - 1065 secs.	0.1	0.026	1.5	3.5	5	0.1	0.026	1.5	3.5	0	0		0	0	35
17	36	16:08	10/17/2016	1060 - 1065 secs.	0.317	0.084	5	0	2.4	0.059	0.076	2.4	0	2.6	0.258	0.091	2.6	0	36
18	37	16:08	10/17/2016	1060 - 1065 secs.	0.303	0.061	5	0	5	0.303	0.061	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	1060 - 1065 secs.	0.086	0.038	1.6	3.4	5	0.086	0.038	1.6	3.4	0	0		0	0	38
20	39	16:09	10/17/2016	1060 - 1065 secs.	0.128	0.05	2.8	2.2	5	0.128	0.05	2.8	2.2	0	0		0	0	39
1	20	13:19	10/17/2016	1065 - 1070 secs.	0	0.004	0	5	5	0	0.004	0	5	0	0		0	0	20
2	21	13:19	10/17/2016	1065 - 1070 secs.	0.215	0.051	2.6	2.4	5	0.215	0.051	2.6	2.4	0	0		0	0	21
3	22	13:20	10/17/2016	1065 - 1070 secs.	0.102	0.034	1.4	3.6	5	0.102	0.034	1.4	3.6	0	0		0	0	22
4	23	13:20	10/17/2016	1065 - 1070 secs.	0.244	0.07	5	0	0	0		0	0	5	0.244	0.065	5	0	23
5	24	14:03	10/17/2016	1065 - 1070 secs.	0.16	0.038	5	0	5	0.16	0.038	5	0	0	0		0	0	24
6	25	14:04	10/17/2016	1065 - 1070 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	25
7	26	14:04	10/17/2016	1065 - 1070 secs.	0.097	0.029	5	0	5	0.097	0.029	5	0	0	0		0	0	26
8	27	14:04	10/17/2016	1065 - 1070 secs.	0	0.03	0	5	5	0	0.03	0	5	0	0		0	0	27
9	28	14:43	10/17/2016	1065 - 1070 secs.	0	0.005	0	5	5	0	0.005	0	5	0	0		0	0	28
10	29	14:43	10/17/2016	1065 - 1070 secs.	0.081	0.035	1.1	3.9	5	0.081	0.035	1.1	3.9	0	0		0	0	29
11	30	14:44	10/17/2016	1065 - 1070 secs.	0.118	0.041	5	0	2.3	0.063	0.046	2.3	0	2.7	0.056	0.036	2.7	0	30
12	31	14:44	10/17/2016	1065 - 1070 secs.	0.128	0.037	2.5	2.5	0	0		0	0	5	0.128	0.037	2.5	2.5	31
13	32	15:23	10/17/2016	1065 - 1070 secs.	0	0.005	0	5	5	0	0.005	0	5	0	0		0	0	32
14	33	15:23	10/17/2016	1065 - 1070 secs.	0.154	0.046	2.7	2.3	5	0.154	0.046	2.7	2.3	0	0		0	0	33
15	34	15:24	10/17/2016	1065 - 1070 secs.	0.229	0.048	5	0	5	0.229	0.048	5	0	0	0		0	0	34
16	35	15:24	10/17/2016	1065 - 1070 secs.	0.306	0.059	5	0	1.9	0.105	0.04	1.9	0	3.1	0.201	0.072	3.1	0	35
17	36	16:08	10/17/2016	1065 - 1070 secs.	0.049	0.02	0.6	4.4	5	0.049	0.015	0.6	4.4	0	0		0	0	36
18	37	16:08	10/17/2016	1065 - 1070 secs.	0.364	0.076	5	0	5	0.364	0.076	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	1065 - 1070 secs.	0.053	0.014	0.5	4.5	5	0.053	0.014	0.5	4.5	0	0		0	0	38
20	39	16:09	10/17/2016	1065 - 1070 secs.	0.071	0.034	3	2	5	0.071	0.034	3	2	0	0		0	0	39
1	20	13:19	10/17/2016	1070 - 1075 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	20
2	21	13:19	10/17/2016	1070 - 1075 secs.	0.115	0.023	1.9	3.1	5	0.115	0.023	1.9	3.1	0	0		0	0	21
3	22	13:20	10/17/2016	1070 - 1075 secs.	0.111	0.044	5	0	5	0.111	0.044	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	1070 - 1075 secs.	0.315	0.074	5	0	1.6	0.03	0.071	1.6	0	3.4	0.285	0.076	3.4	0	23
5	24	14:03	10/17/2016	1070 - 1075 secs.	0.113	0.033	5	0	3.2	0.068	0.031	3.2	0	1.8	0.045	0.035	1.8	0	24
6	25	14:04	10/17/2016	1070 - 1075 secs.	0	0.01	0	5	0	0		0	0	5	0	0.01	0	5	25
7	26	14:04	10/17/2016	1070 - 1075 secs.	0.1	0.038	3	2	5	0.1	0.038	3	2	0	0		0	0	26
8	27	14:04	10/17/2016	1070 - 1075 secs.	0.326	0.075	3.9	1.1	3.5	0.194	0.065	2.3	1.1	1.5	0.132	0.096	1.5	0	27
9	28	14:43	10/17/2016	1070 - 1075 secs.	0	0.005	0	5	5	0	0.005	0	5	0	0		0	0	28
10	29	14:43	10/17/2016	1070 - 1075 secs.	0.235	0.057	2.6	2.4	1.2	0.106	0.099	1	0.2	3.8	0.129	0.044	1.6	2.2	29
11	30	14:44	10/17/2016	1070 - 1075 secs.	0.053	0.028	2	3	0	0		0	0	5	0.053	0.028	2	3	30
12	31	14:44	10/17/2016	1070 - 1075 secs.	0.084	0.028	3.7	1.3	0.2	0	0.294	0.2	0	4.8	0.084	0.017	3.5	1.3	31
13	32	15:23	10/17/2016	1070 - 1075 secs.	0.11	0.033	1.7	3.3	4.7	0.089	0.035	1.5	3.3	0.3	0.021	0	0.3	0	32
14	33	15:23	10/17/2016	1070 - 1075 secs.	0.093	0.023	2.7	2.3	5	0.093	0.023	2.7	2.3	0	0		0	0	33
15	34	15:24	10/17/2016	1070 - 1075 secs.	0.049	0.022	2.6	2.4	5	0.049	0.022	2.6	2.4	0	0		0	0	34
16	35	15:24	10/17/2016	1070 - 1075 secs.	0.249	0.062	2.7	2.3	3.9	0.224	0.072	1.7	2.3	1.1	0.025	0.024	1.1	0	35
17	36	16:08	10/17/2016	1070 - 1075 secs.	0.469	0.101	3	2	3.9	0.268	0.076	1.9	2	1.1	0.202	0.19	1.1	0	36
18	37	16:08	10/17/2016	1070 - 1075 secs.	0.147	0.044	5	0	5	0.147	0.044	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	1070 - 1075 secs.	0.025	0.023	3.3	1.7	5	0.025	0.023	3.3	1.7	0	0		0	0	38
20	39	16:09	10/17/2016	1070 - 1075 secs.	0.025	0.03	3.7	1.3	5	0.025	0.03	3.7	1.3	0	0		0	0	39
1	20	13:19	10/17/2016	1075 - 1080 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	20
2	21	13:19	10/17/2016	1075 - 1080 secs.	0.095	0.03	1.8	3.2	5	0.095	0.03	1.8	3.2	0	0		0	0	21
3	22	13:20	10/17/2016	1075 - 1080 secs.	0.079	0	5	0	5	0.079	0	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	1075 - 1080 secs.	0.203	0.072	3.9	1.1	0	0		0	0	5	0.203	0.072	3.9	1.1	23
5	24	14:03	10/17/2016	1075 - 1080 secs.	0.312	0.067	5	0	3.1	0.066	0.029	3.1	0	1.9	0.246	0.129	1.9	0	24
6	25	14:04	10/17/2016	1075 - 1080 secs.	0	0.004	0	5	0	0		0	0	5	0	0.004	0	5	25
7	26	14:04	10/17/2016	1075 - 1080 secs.	0.407	0.098	3.8	1.2	5	0.407	0.098	3.8	1.2	0	0		0	0	26
8	27	14:04	10/17/2016	1075 - 1080 secs.	0.023	0.005	0.2	4.8	0	0		0	0	5	0.023	0.005	0.2	4.8	27
9	28	14:43	10/17/2016	1075 - 1080 secs.	0	0.005	0	5	5	0	0.005	0	5	0	0		0	0	28
10	29	14:43	10/17/2016	1075 - 1080 secs.	0.068	0.028	0.7	4.3	4.9	0.068	0.028	0.6	4.3	0.1	0	0	0.1	0	29
11	30	14:44	10/17/2016	1075 - 1080 secs.	0.257	0.083	5	0	0	0		0	0	5	0.257	0.078	5	0	30
12	31	14:44	10/17/2016	1075 - 1080 secs.	0.057	0.036	4.6	0.4	2.9	0	0.045	2.8	0.1	2.1	0.057	0.024	1.8	0.3	31
13	32	15:23	10/17/2016	1075 - 1080 secs.	0.519	0.119	4.7	0.3	4.5	0.495	0.117	4.5	0	0.5	0.023	0.134	0.2	0.3	32
14	33	15:23	10/17/2016	1075 - 1080 secs.	0.296	0.062	3.5	1.5	5	0.296	0.062	3.5	1.5	0	0		0	0	33
15	34	15:24	10/17/2016	1075 - 1080 secs.	0.16	0.05	3.7	1.3	5	0.16	0.05	3.7	1.3	0	0		0	0	34
16	35	15:24	10/17/2016	1075 - 1080 secs.	0.189	0.043	3.2	1.8	5	0.189	0.043	3.2	1.8	0	0		0	0	35
17	36	16:08	10/17/2016	1075 - 1080 secs.	0.049	0.023	0.5	4.5	0.8	0.023	0	0.1	0.7	4.2	0.026	0.028	0.4	3.8	36
18	37	16:08	10/17/2016	1075 - 1080 secs.	0.382	0.071	5	0	4.4	0.317	0.074	4.4	0	0.6	0.066	0.043	0.6	0	37
19	38	16:09	10/17/2016	1075 - 1080 secs.	0.637	0.138	4.5	0.5	5	0.637	0.138	4.5	0.5	0	0		0	0	38
20	39	16:09	10/17/2016	1075 - 1080 secs.	0	0.005	1.6	3.4	5	0	0.005	1.6	3.4	0	0		0	0	39
1	20	13:19	10/17/2016	1080 - 1085 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	20
2	21	13:19	10/17/2016	1080 - 1085 secs.	0.369	0.081	5	0	5	0.369	0.081	5	0	0	0		0	0	21
3	22	13:20	10/17/2016	1080 - 1085 secs.	0.278	0.088	5	0	2.8	0.113	0.063	2.8	0	2.2	0.164	0.122	2.2	0	22
4	23	13:20	10/17/2016	1080 - 1085 secs.	0.082	0.036	0.9	4.1	0	0		0	0	5	0.082	0.036	0.9	4.1	23
5	24	14:03	10/17/2016	1080 - 1085 secs.	0.042	0.014	1.6	3.4	5	0.042	0.014	1.6	3.4	0	0		0	0	24
6	25	14:04	10/17/2016	1080 - 1085 secs.	0	0.009	0	5	0	0		0	0	5	0	0.005	0	5	25
7	26	14:04	10/17/2016	1080 - 1085 secs.	0.049	0.019	1.8	3.2	5	0.049	0.019	1.8	3.2	0	0		0	0	26
8	27	14:04	10/17/2016	1080 - 1085 secs.	0.174	0.034	1.7	3.3	3.8	0.068	0.025	1	2.8	1.2	0.105	0.061	0.7	0.5	27
9	28	14:43	10/17/2016	1080 - 1085 secs.	0	0.01	0.1	4.9	5	0	0.01	0.1	4.9	0	0		0	0	28
10	29	14:43	10/17/2016	1080 - 1085 secs.	0.19	0.047	2.7	2.3	1.5	0.023	0.03	1.5	0	3.5	0.167	0.054	1.2	2.3	29
11	30	14:44	10/17/2016	1080 - 1085 secs.	0.248	0.054	5	0	4.1	0.197	0.058	4.1	0	0.9	0.051	0.035	0.9	0	30
12	31	14:44	10/17/2016	1080 - 1085 secs.	0.05	0.016	1.1	3.9	0.1	0	0.251	0	0.1	4.9	0.05	0.011	1.1	3.8	31
13	32	15:23	10/17/2016	1080 - 1085 secs.	0.073	0.023	0.5	4.5	0	0		0	0	5	0.073	0.023	0.5	4.5	32
14	33	15:23	10/17/2016	1080 - 1085 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	33
15	34	15:24	10/17/2016	1080 - 1085 secs.	0.023	0.025	1.9	3.1	5	0.023	0.025	1.9	3.1	0	0		0	0	34
16	35	15:24	10/17/2016	1080 - 1085 secs.	0	0	0.1	4.9	5	0	0	0.1	4.9	0	0		0	0	35
17	36	16:08	10/17/2016	1080 - 1085 secs.	0.408	0.111	5	0	4.3	0.324	0.116	4.3	0	0.7	0.085	0.082	0.6	0	36
18	37	16:08	10/17/2016	1080 - 1085 secs.	0.276	0.063	5	0	5	0.276	0.063	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	1080 - 1085 secs.	0.12	0.044	2.4	2.6	5	0.12	0.044	2.4	2.6	0	0		0	0	38
20	39	16:09	10/17/2016	1080 - 1085 secs.	0.235	0.058	5	0	2.7	0.078	0.031	2.7	0	2.3	0.158	0.088	2.3	0	39
1	20	13:19	10/17/2016	1085 - 1090 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	20
2	21	13:19	10/17/2016	1085 - 1090 secs.	0.195	0.045	5	0	5	0.195	0.045	5	0	0	0		0	0	21
3	22	13:20	10/17/2016	1085 - 1090 secs.	0.204	0.058	5	0	5	0.204	0.058	5	0	0	0		0	0	22
4	23	13:20	10/17/2016	1085 - 1090 secs.	0	0	0.1	4.9	0	0		0	0	5	0	0	0.1	4.9	23
5	24	14:03	10/17/2016	1085 - 1090 secs.	0.129	0.044	1.5	3.5	5	0.129	0.044	1.5	3.5	0	0		0	0	24
6	25	14:04	10/17/2016	1085 - 1090 secs.	0	0.004	0	5	0	0		0	0	5	0	0.004	0	5	25
7	26	14:04	10/17/2016	1085 - 1090 secs.	0.023	0	0.1	4.9	5	0.023	0	0.1	4.9	0	0		0	0	26
8	27	14:04	10/17/2016	1085 - 1090 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	27
9	28	14:43	10/17/2016	1085 - 1090 secs.	0	0.005	0.1	4.9	5	0	0.005	0.1	4.9	0	0		0	0	28
10	29	14:43	10/17/2016	1085 - 1090 secs.	0.176	0.046	5	0	5	0.176	0.041	5	0	0	0		0	0	29
11	30	14:44	10/17/2016	1085 - 1090 secs.	0.081	0.038	5	0	5	0.081	0.038	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	1085 - 1090 secs.	0.155	0.042	5	0	4.4	0.128	0.048	4.4	0	0.6	0.027	0	0.6	0	31
13	32	15:23	10/17/2016	1085 - 1090 secs.	0.197	0.066	3.5	1.5	3.3	0.15	0.077	3.3	0	1.7	0.047	0.045	0.2	1.5	32
14	33	15:23	10/17/2016	1085 - 1090 secs.	0	0.006	0.1	4.9	5	0	0.006	0.1	4.9	0	0		0	0	33
15	34	15:24	10/17/2016	1085 - 1090 secs.	0.123	0.029	3.4	1.6	5	0.123	0.029	3.4	1.6	0	0		0	0	34
16	35	15:24	10/17/2016	1085 - 1090 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	35
17	36	16:08	10/17/2016	1085 - 1090 secs.	0.138	0.037	2.9	2.1	4.7	0.138	0.029	2.5	2.1	0.3	0	0.155	0.3	0	36
18	37	16:08	10/17/2016	1085 - 1090 secs.	0.188	0.047	5	0	5	0.188	0.047	5	0	0	0		0	0	37
19	38	16:09	10/17/2016	1085 - 1090 secs.	0.03	0.019	1.6	3.4	5	0.03	0.019	1.6	3.4	0	0		0	0	38
20	39	16:09	10/17/2016	1085 - 1090 secs.	0.224	0.042	5	0	1	0.048	0.075	1	0	4	0.176	0.035	4	0	39
1	20	13:19	10/17/2016	1090 - 1095 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	20
2	21	13:19	10/17/2016	1090 - 1095 secs.	0.29	0.067	5	0	4.6	0.244	0.067	4.6	0	0.4	0.045	0.068	0.4	0	21
3	22	13:20	10/17/2016	1090 - 1095 secs.	0.19	0.039	5	0	3.4	0.162	0.042	3.4	0	1.6	0.028	0.033	1.6	0	22
4	23	13:20	10/17/2016	1090 - 1095 secs.	0.025	0.01	0.1	4.9	0	0		0	0	5	0.025	0.01	0.1	4.9	23
5	24	14:03	10/17/2016	1090 - 1095 secs.	0.204	0.052	4.4	0.6	4.2	0.157	0.045	4.2	0	0.8	0.047	0.092	0.2	0.6	24
6	25	14:04	10/17/2016	1090 - 1095 secs.	0	0	0	5	0	0		0	0	5	0	0	0	5	25
7	26	14:04	10/17/2016	1090 - 1095 secs.	0	0.015	0	5	5	0	0.015	0	5	0	0		0	0	26
8	27	14:04	10/17/2016	1090 - 1095 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	27
9	28	14:43	10/17/2016	1090 - 1095 secs.	0	0.005	0	5	5	0	0.005	0	5	0	0		0	0	28
10	29	14:43	10/17/2016	1090 - 1095 secs.	0.183	0.055	5	0	4.6	0.183	0.059	4.6	0	0.4	0	0	0.4	0	29
11	30	14:44	10/17/2016	1090 - 1095 secs.	0.076	0.015	2.5	2.5	5	0.076	0.015	2.5	2.5	0	0		0	0	30
12	31	14:44	10/17/2016	1090 - 1095 secs.	0.196	0.041	3.4	1.6	5	0.196	0.041	3.4	1.6	0	0		0	0	31
13	32	15:23	10/17/2016	1090 - 1095 secs.	0.07	0.037	3.4	1.6	5	0.07	0.037	3.4	1.6	0	0		0	0	32
14	33	15:23	10/17/2016	1090 - 1095 secs.	0.33	0.066	3	2	5	0.33	0.066	3	2	0	0		0	0	33
15	34	15:24	10/17/2016	1090 - 1095 secs.	0	0	0.8	4.2	5	0	0	0.8	4.2	0	0		0	0	34
16	35	15:24	10/17/2016	1090 - 1095 secs.	0	0.007	2.6	2.4	5	0	0.007	2.6	2.4	0	0		0	0	35
17	36	16:08	10/17/2016	1090 - 1095 secs.	0.376	0.088	5	0	1	0.047	0.074	1	0	4	0.329	0.091	4	0	36
18	37	16:08	10/17/2016	1090 - 1095 secs.	0.59	0.124	5	0	2.8	0.26	0.088	2.8	0	2.2	0.33	0.172	2.2	0	37
19	38	16:09	10/17/2016	1090 - 1095 secs.	0	0.005	0	5	5	0	0	0	5	0	0		0	0	38
20	39	16:09	10/17/2016	1090 - 1095 secs.	0.16	0.057	2.1	2.9	5	0.16	0.047	2.1	2.9	0	0		0	0	39
1	20	13:19	10/17/2016	1095 - 1100 secs.	0	0.005	0	5	5	0	0.005	0	5	0	0		0	0	20
2	21	13:19	10/17/2016	1095 - 1100 secs.	0.226	0.047	2.7	2.3	5	0.226	0.047	2.7	2.3	0	0		0	0	21
3	22	13:20	10/17/2016	1095 - 1100 secs.	0.331	0.085	5	0	1.1	0.03	0.079	1.1	0	3.9	0.301	0.086	3.9	0	22
4	23	13:20	10/17/2016	1095 - 1100 secs.	0.13	0.043	4.1	0.9	0	0		0	0	5	0.13	0.043	4.1	0.9	23
5	24	14:03	10/17/2016	1095 - 1100 secs.	0.369	0.087	2.8	2.2	2	0.178	0.107	2	0	3	0.19	0.073	0.7	2.2	24
6	25	14:04	10/17/2016	1095 - 1100 secs.	0	0.004	0.1	4.9	0	0		0	0	5	0	0.004	0.1	4.9	25
7	26	14:04	10/17/2016	1095 - 1100 secs.	0.025	0.014	1.2	3.8	5	0.025	0.014	1.2	3.8	0	0		0	0	26
8	27	14:04	10/17/2016	1095 - 1100 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	27
9	28	14:43	10/17/2016	1095 - 1100 secs.	0	0	0	5	5	0	0	0	5	0	0		0	0	28
10	29	14:43	10/17/2016	1095 - 1100 secs.	0.471	0.1	5	0	3	0.206	0.066	3	0	2	0.265	0.153	2	0	29
11	30	14:44	10/17/2016	1095 - 1100 secs.	0.102	0.033	5	0	5	0.102	0.033	5	0	0	0		0	0	30
12	31	14:44	10/17/2016	1095 - 1100 secs.	0.285	0.062	3.5	1.5	2.9	0.158	0.059	1.4	1.5	2.1	0.128	0.067	2.1	0	31
13	32	15:23	10/17/2016	1095 - 1100 secs.	0	0.004	0	5	5	0	0.004	0	5	0	0		0	0	32
14	33	15:23	10/17/2016	1095 - 1100 secs.	0.163	0.038	2.2	2.8	5	0.163	0.038	2.2	2.8	0	0		0	0	33
15	34	15:24	10/17/2016	1095 - 1100 secs.	0	0.024	0.1	4.9	5	0	0.024	0.1	4.9	0	0		0	0	34
16	35	15:24	10/17/2016	1095 - 1100 secs.	0	0.017	1.8	3.2	5	0	0.017	1.8	3.2	0	0		0	0	35
17	36	16:08	10/17/2016	1095 - 1100 secs.	0.446	0.101	5	0	3.2	0.223	0.072	3.2	0	1.8	0.223	0.155	1.8	0	36
18	37	16:08	10/17/2016	1095 - 1100 secs.	0.127	0.036	5	0	5	0.127	0.036	5	0	0	0		0	0	37
