Test	Animal	Treatment	Code	Apparatus	Time	Animal notes	Segment of test	WholeArena : time	WholeArena : distance	WholeArena : average speed	WholeArena : time mobile	WholeArena : time immobile	WholeArena : immobile episodes	Edge10cm : time	Edge10cm : distance	Edge10cm : time mobile	Edge10cm : time immobile	Edge10cm : immobile episodes	Edge10cm : freezing episodes	Edge10cm : time freezing	Center30cm : time	Center30cm : distance	Center30cm : time mobile	Center30cm : time immobile	Center30cm : freezing episodes	Center30cm : time freezing	ID	DOB	Group
1	1	A	A	Field1	14:04		50 - 51 secs.	1.0	0.000	0.000	0.0	1.0	0	1.0	0.000	0.0	1.0	0	1	0.6	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		51 - 52 secs.	1.0	0.033	0.045	0.1	0.9	0	1.0	0.033	0.1	0.9	0	0	0.4	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		52 - 53 secs.	1.0	0.036	0.052	1.0	0.0	0	0.1	0.000	0.1	0.0	0	0	0.0	0.9	0.036	0.9	0.0	1	0.1	1		sham
1	1	A	A	Field1	14:04		53 - 54 secs.	1.0	0.024	0.045	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.024	1.0	0.0	1	0.6	1		sham
1	1	A	A	Field1	14:04		54 - 55 secs.	1.0	0.000	0.023	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	1.0	0.0	1	0.8	1		sham
1	1	A	A	Field1	14:04		55 - 56 secs.	1.0	0.046	0.083	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.046	1.0	0.0	0	0.1	1		sham
1	1	A	A	Field1	14:04		56 - 57 secs.	1.0	0.054	0.081	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.054	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		57 - 58 secs.	1.0	0.110	0.114	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.110	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		58 - 59 secs.	1.0	0.134	0.159	1.0	0.0	0	0.8	0.089	0.8	0.0	0	0	0.0	0.3	0.046	0.3	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		59 - 60 secs.	1.0	0.146	0.199	1.0	0.0	0	1.0	0.146	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		60 - 61 secs.	1.0	0.150	0.153	1.0	0.0	0	1.0	0.150	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		61 - 62 secs.	1.0	0.094	0.128	1.0	0.0	0	1.0	0.094	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		62 - 63 secs.	1.0	0.050	0.108	1.0	0.0	0	0.8	0.050	0.8	0.0	0	0	0.0	0.2	0.000	0.2	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		63 - 64 secs.	1.0	0.024	0.027	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.024	1.0	0.0	1	0.5	1		sham
1	1	A	A	Field1	14:04		64 - 65 secs.	1.0	0.117	0.112	1.0	0.0	0	0.8	0.097	0.8	0.0	0	0	0.0	0.2	0.020	0.2	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		65 - 66 secs.	1.0	0.000	0.040	1.0	0.0	0	1.0	0.000	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		66 - 67 secs.	1.0	0.000	0.021	1.0	0.0	0	1.0	0.000	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		67 - 68 secs.	1.0	0.000	0.093	1.0	0.0	0	1.0	0.000	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		68 - 69 secs.	1.0	0.020	0.050	1.0	0.0	0	1.0	0.020	1.0	0.0	0	1	0.4	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		69 - 70 secs.	1.0	0.058	0.063	1.0	0.0	0	0.4	0.058	0.4	0.0	0	0	0.1	0.6	0.000	0.6	0.0	1	0.3	1		sham
1	1	A	A	Field1	14:04		70 - 71 secs.	1.0	0.000	0.027	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	1.0	0.0	1	0.8	1		sham
1	1	A	A	Field1	14:04		71 - 72 secs.	1.0	0.068	0.099	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.068	1.0	0.0	0	0.2	1		sham
1	1	A	A	Field1	14:04		72 - 73 secs.	1.0	0.089	0.109	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.089	1.0	0.0	1	0.1	1		sham
1	1	A	A	Field1	14:04		73 - 74 secs.	1.0	0.000	0.000	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	1.0	0.0	0	0.8	1		sham
1	1	A	A	Field1	14:04		74 - 75 secs.	1.0	0.052	0.073	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.052	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		75 - 76 secs.	1.0	0.088	0.096	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.088	1.0	0.0	1	0.4	1		sham
1	1	A	A	Field1	14:04		76 - 77 secs.	1.0	0.064	0.065	1.0	0.0	0	1.0	0.042	1.0	0.0	0	0	0.0	0.0	0.023	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		77 - 78 secs.	1.0	0.019	0.111	1.0	0.0	0	1.0	0.019	1.0	0.0	0	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		78 - 79 secs.	1.0	0.000	0.000	1.0	0.0	0	1.0	0.000	1.0	0.0	0	1	0.4	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		79 - 80 secs.	1.0	0.019	0.044	1.0	0.0	0	1.0	0.019	1.0	0.0	0	1	0.2	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		80 - 81 secs.	1.0	0.000	0.024	1.0	0.0	0	1.0	0.000	1.0	0.0	0	0	0.8	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		81 - 82 secs.	1.0	0.161	0.152	1.0	0.0	0	0.1	0.040	0.1	0.0	0	0	0.0	1.0	0.121	1.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		82 - 83 secs.	1.0	0.120	0.115	1.0	0.0	0	0.3	0.024	0.3	0.0	0	0	0.0	0.7	0.096	0.7	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		83 - 84 secs.	1.0	0.019	0.023	0.1	0.9	1	1.0	0.019	0.1	0.9	1	1	0.5	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		84 - 85 secs.	1.0	0.000	0.000	0.0	1.0	0	1.0	0.000	0.0	1.0	0	0	1.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		85 - 86 secs.	1.0	0.000	0.047	0.1	0.9	1	1.0	0.000	0.1	0.9	1	0	0.1	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		86 - 87 secs.	1.0	0.000	0.000	0.0	1.0	0	1.0	0.000	0.0	1.0	0	1	1.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		87 - 88 secs.	1.0	0.000	0.054	0.0	1.0	0	1.0	0.000	0.0	1.0	0	1	0.3	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		88 - 89 secs.	1.0	0.000	0.000	0.0	1.0	0	1.0	0.000	0.0	1.0	0	0	1.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		89 - 90 secs.	1.0	0.000	0.025	0.0	1.0	0	1.0	0.000	0.0	1.0	0	0	0.6	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		90 - 91 secs.	1.0	0.000	0.042	0.1	0.9	1	1.0	0.000	0.1	0.9	1	0	0.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		91 - 92 secs.	1.0	0.019	0.000	0.0	1.0	0	1.0	0.019	0.0	1.0	0	2	0.6	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		92 - 93 secs.	1.0	0.000	0.000	0.0	1.0	0	1.0	0.000	0.0	1.0	0	0	1.0	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		93 - 94 secs.	1.0	0.000	0.000	0.0	1.0	0	1.0	0.000	0.0	1.0	0	1	0.7	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		94 - 95 secs.	1.0	0.000	0.000	0.0	1.0	0	1.0	0.000	0.0	1.0	0	1	0.5	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		95 - 96 secs.	1.0	0.000	0.000	0.0	1.0	0	1.0	0.000	0.0	1.0	0	0	0.7	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		96 - 97 secs.	1.0	0.000	0.040	0.2	0.8	0	1.0	0.000	0.2	0.8	0	1	0.4	0.0	0.000	0.0	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		97 - 98 secs.	1.0	0.067	0.103	1.0	0.0	0	0.3	0.031	0.3	0.0	0	0	0.0	0.7	0.037	0.7	0.0	0	0.0	1		sham
1	1	A	A	Field1	14:04		98 - 99 secs.	1.0	0.000	0.022	1.0	0.0	0	0.0	0.000	0.0	0.0	0	0	0.0	1.0	0.000	1.0	0.0	1	0.5	1		sham
