Day	Date	Time	201808 reversal1-25:Irrad	201808 reversal1-26:Sham	201808 reversal1-28:Irrad	201809 reversal-13:Sham	201809 reversal-14:Irrad	201809 reversal-15:Irrad	201809 reversal-16:Sham	201810 reversal-17:Sham	201810 reversal-18:Irrad	201810 reversal-20:Sham	201811 reversal1-17:Irrad	201811 reversal1-18:Sham	201811 reversal1-20:Irrad	201811 reversal2-21:Irrad	201811 reversal2-22:Sham	201811 reversal2-23:Sham	201811 reversal2-24:Irrad	201812 reversal-1:Sham	201812 reversal-2:Irrad	201812 reversal-3:Sham	201812 reversal-4:Irrad
-3	1950-05-29	08:45	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	119.959	0.000	68.760	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	08:46	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	50.329	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	08:47	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	146.841	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	08:48	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	130.398	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
-3	1950-05-29	08:49	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	85.408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.928
-3	1950-05-29	08:50	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	58.273	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	87.888
-3	1950-05-29	08:51	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	53.483	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	130.232
-3	1950-05-29	08:52	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	39.914	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	76.023
-3	1950-05-29	08:53	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	44.283	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	25.220
-3	1950-05-29	08:54	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	123.151	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	181.937
-3	1950-05-29	08:55	nan	nan	nan	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	18.906	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	230.028
