,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_5-17-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 5/17/2017 14:26:22
,     Stop Time: ~5/27/2017 14:26:22


Interface/Port, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



 05/17/2017 14:18:53
Interval Count,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Average m/min.,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,
Average m/min.,0.00,7.21,2.04,2.66,0.00,0.02,0.00,0.31,2.49,8.81,3.20,2.95,3.53,13.52,0.00,
Distance,17.07,46.78,115.02,23.85,3.36,1.19,49.74,11.97,26.21,35.66,61.69,18.04,35.79,108.95,0.00,
Total Counts,42.67,116.96,287.55,59.62,8.41,2.97,124.36,29.93,65.51,89.16,154.24,45.09,89.49,272.37,0.00,


 14:48:53
Interval Count,0.34,23.09,12.57,10.09,0.00,0.00,5.05,1.86,1.13,22.21,8.57,4.14,0.42,12.39,0.00,
Average m/min.,0.14,9.23,5.02,4.02,0.00,0.00,2.02,0.75,0.45,8.88,3.43,1.65,0.17,4.96,0.00,
Distance,17.21,56.02,120.05,27.88,3.36,1.19,51.76,12.72,26.66,44.55,65.12,19.69,35.96,113.91,0.00,
Total Counts,43.01,140.05,300.12,69.71,8.41,2.97,129.41,31.79,66.64,111.37,162.80,49.24,89.91,284.76,0.00,


 14:49:53
Interval Count,0.51,10.34,17.76,24.43,0.24,0.00,13.91,6.80,1.95,17.99,9.37,0.04,5.83,4.21,0.00,
Average m/min.,0.20,4.14,7.10,9.79,0.10,0.00,5.57,2.72,0.78,7.19,3.75,0.02,2.33,1.68,0.00,
Distance,17.41,60.16,127.15,37.66,3.46,1.19,57.33,15.44,27.44,51.74,68.87,19.71,38.29,115.59,0.00,
Total Counts,43.53,150.39,317.88,94.14,8.64,2.97,143.32,38.59,68.59,129.36,172.17,49.28,95.74,288.97,0.00,


 14:50:53
Interval Count,0.32,0.13,8.00,13.82,1.03,0.08,14.14,2.29,0.00,33.64,2.04,0.91,1.07,27.09,0.00,
Average m/min.,0.13,0.05,3.20,5.52,0.41,0.03,5.65,0.91,0.00,13.45,0.81,0.36,0.43,10.84,0.00,
Distance,17.54,60.21,130.35,43.18,3.87,1.22,62.98,16.35,27.44,65.20,69.68,20.07,38.72,126.43,0.00,
Total Counts,43.84,150.53,325.88,107.96,9.67,3.05,157.46,40.88,68.59,163.00,174.21,50.18,96.80,316.07,0.00,


 14:51:53
Interval Count,0.37,0.08,0.04,23.78,2.80,0.11,2.86,14.39,2.55,30.93,2.04,3.80,0.71,14.87,0.00,
Average m/min.,0.14,0.03,0.02,9.50,1.12,0.04,1.15,5.75,1.02,12.36,0.82,1.52,0.29,5.94,0.00,
Distance,17.68,60.24,130.37,52.69,4.99,1.26,64.13,22.11,28.46,77.57,70.50,21.59,39.01,132.37,0.00,
Total Counts,44.21,150.61,325.92,131.74,12.47,3.16,160.32,55.28,71.14,193.93,176.25,53.99,97.51,330.93,0.00,


 14:52:53
Interval Count,0.17,6.58,0.00,26.93,0.00,0.00,2.55,6.33,2.03,4.59,3.54,0.45,7.39,0.57,0.00,
Average m/min.,0.07,2.63,0.00,10.78,0.00,0.00,1.02,2.53,0.81,1.84,1.42,0.18,2.95,0.23,0.00,
Distance,17.75,62.87,130.37,63.47,4.99,1.26,65.15,24.64,29.27,79.41,71.92,21.77,41.96,132.60,0.00,
Total Counts,44.38,157.18,325.92,158.67,12.47,3.16,162.87,61.61,73.17,198.53,179.79,54.43,104.91,331.50,0.00,


 14:53:53
Interval Count,0.00,23.99,14.59,22.57,0.17,0.00,4.14,1.93,0.33,11.20,12.09,2.34,0.54,16.68,0.00,
Average m/min.,0.00,9.59,5.83,9.01,0.07,0.00,1.66,0.78,0.13,4.48,4.83,0.94,0.22,6.66,0.00,
Distance,17.75,72.47,136.21,72.49,5.06,1.26,66.81,25.42,29.40,83.89,76.75,22.71,42.18,139.27,0.00,
Total Counts,44.38,181.17,340.51,181.24,12.64,3.16,167.01,63.54,73.50,209.72,191.88,56.78,105.45,348.18,0.00,


 14:54:53
Interval Count,0.00,12.33,14.07,25.37,0.37,0.00,3.03,2.05,3.13,35.46,3.41,17.11,8.92,0.47,0.00,
Average m/min.,0.00,4.93,5.62,10.15,0.15,0.00,1.21,0.82,1.25,14.18,1.37,6.84,3.57,0.19,0.00,
Distance,17.75,77.40,141.83,82.64,5.21,1.26,68.02,26.24,30.65,98.07,78.12,29.55,45.75,139.46,0.00,
Total Counts,44.38,193.50,354.58,206.61,13.01,3.16,170.04,65.59,76.63,245.18,195.29,73.88,114.37,348.66,0.00,


 14:55:53
Interval Count,0.00,2.25,0.36,29.84,0.00,0.00,0.16,1.79,3.55,18.76,6.30,5.68,5.67,20.37,0.00,
Average m/min.,0.00,0.90,0.14,11.95,0.00,0.00,0.06,0.71,1.42,7.51,2.52,2.28,2.27,8.15,0.00,
Distance,17.75,78.30,141.97,94.58,5.21,1.26,68.08,26.95,32.07,105.58,80.64,31.83,48.02,147.61,0.00,
Total Counts,44.38,195.75,354.93,236.45,13.01,3.16,170.20,67.38,80.18,263.95,201.59,79.57,120.04,369.03,0.00,


 14:56:53
Interval Count,0.00,17.53,1.66,8.89,0.00,0.12,2.33,2.11,0.37,0.21,10.29,6.03,5.86,15.86,0.00,
Average m/min.,0.00,7.01,0.67,3.56,0.00,0.05,0.93,0.84,0.15,0.08,4.11,2.41,2.34,6.34,0.00,
Distance,17.75,85.31,142.64,98.14,5.21,1.31,69.01,27.79,32.22,105.66,84.75,34.24,50.36,153.95,0.00,
Total Counts,44.38,213.28,356.59,245.34,13.01,3.28,172.53,69.49,80.55,264.16,211.88,85.59,125.89,384.88,0.00,


 14:57:53
Interval Count,0.16,10.64,7.28,12.62,0.00,0.00,8.32,4.39,2.18,0.42,7.39,13.74,4.11,34.17,0.00,
Average m/min.,0.07,4.26,2.91,5.03,0.00,0.00,3.33,1.76,0.87,0.17,2.96,5.49,1.64,13.67,0.00,
Distance,17.82,89.57,145.55,103.18,5.21,1.31,72.34,29.55,33.09,105.83,87.71,39.73,52.00,167.62,0.00,
Total Counts,44.54,223.92,363.87,257.96,13.01,3.28,180.84,73.88,82.74,264.58,219.28,99.33,130.00,419.05,0.00,


 14:58:53
Interval Count,0.00,35.72,8.57,35.38,0.00,0.00,0.01,2.49,0.92,0.01,12.34,15.13,3.88,44.75,0.00,
Average m/min.,0.00,14.28,3.42,14.16,0.00,0.00,0.00,1.00,0.37,0.01,4.94,6.05,1.55,17.90,0.00,
Distance,17.82,103.86,148.97,117.34,5.21,1.31,72.34,30.55,33.46,105.84,92.65,45.78,53.55,185.52,0.00,
Total Counts,44.54,259.64,372.43,293.34,13.01,3.28,180.86,76.37,83.66,264.59,231.62,114.46,133.88,463.80,0.00,


 14:59:53
Interval Count,0.30,14.28,5.61,23.12,0.00,0.25,5.92,2.36,2.92,0.00,9.55,23.96,9.32,14.93,0.00,
Average m/min.,0.12,5.71,2.25,9.24,0.00,0.10,2.37,0.94,1.17,0.00,3.82,9.59,3.73,5.97,0.00,
Distance,17.94,109.57,151.22,126.58,5.21,1.41,74.71,31.49,34.63,105.84,96.47,55.37,57.28,191.49,0.00,
Total Counts,44.84,273.92,378.04,316.46,13.01,3.53,186.78,78.72,86.58,264.59,241.17,138.42,143.20,478.74,0.00,


 15:00:53
Interval Count,0.11,18.95,14.74,34.79,0.00,0.00,4.00,6.67,5.70,0.00,0.00,17.57,8.39,2.34,0.00,
Average m/min.,0.04,7.58,5.89,13.92,0.00,0.00,1.60,2.67,2.28,0.00,0.00,7.02,3.36,0.94,0.00,
Distance,17.98,117.15,157.11,140.50,5.21,1.41,76.31,34.16,36.91,105.84,96.47,62.39,60.64,192.43,0.00,
Total Counts,44.95,292.87,392.78,351.25,13.01,3.53,190.78,85.39,92.28,264.59,241.17,155.99,151.59,481.08,0.00,


 15:01:53
Interval Count,0.89,4.49,3.39,22.57,0.00,0.00,10.37,15.95,0.05,3.03,7.53,0.00,11.39,35.75,0.00,
Average m/min.,0.36,1.79,1.36,9.03,0.00,0.00,4.14,6.37,0.02,1.21,3.01,0.00,4.55,14.29,0.00,
