,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_5-17-2017
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 5/25/2017 14:12:16
,     Stop Time: ~6/4/2017 14:12:16


Interface/Port, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Total Counts,14906.75,20181.64,32073.92,0.03,17974.75,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.26,31634.18,0.00,


 16:27:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,
Distance,5962.70,8072.66,12829.57,0.01,7189.90,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9191.73,12653.67,0.00,
Total Counts,14906.75,20181.64,32073.92,0.03,17974.75,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.33,31634.18,0.00,


 16:28:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
Distance,5962.70,8072.66,12829.57,0.01,7189.90,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9191.74,12653.67,0.00,
Total Counts,14906.75,20181.64,32073.92,0.03,17974.75,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.34,31634.18,0.00,


 16:29:09
Interval Count,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.57,0.01,7189.90,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9191.74,12653.67,0.00,
Total Counts,14906.76,20181.64,32073.92,0.03,17974.75,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.34,31634.18,0.00,


 16:30:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.57,0.01,7189.90,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9191.74,12653.67,0.00,
Total Counts,14906.76,20181.64,32073.92,0.03,17974.75,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.34,31634.18,0.00,


 16:31:09
Interval Count,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.57,0.01,7189.91,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9191.74,12653.67,0.00,
Total Counts,14906.76,20181.64,32073.92,0.03,17974.78,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.34,31634.18,0.00,


 16:32:09
Interval Count,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.57,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9191.74,12653.67,0.00,
Total Counts,14906.76,20181.64,32073.92,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.34,31634.18,0.00,


 16:33:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.57,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9191.74,12653.67,0.00,
Total Counts,14906.76,20181.64,32073.92,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.34,31634.18,0.00,


 16:34:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,
Distance,5962.71,8072.66,12829.57,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9191.81,12653.67,0.00,
Total Counts,14906.76,20181.64,32073.92,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.51,31634.18,0.00,


 16:35:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,
Distance,5962.71,8072.66,12829.57,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9191.84,12653.67,0.00,
Total Counts,14906.76,20181.64,32073.92,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.59,31634.18,0.00,


 16:36:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
Distance,5962.71,8072.66,12829.57,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9191.85,12653.67,0.00,
Total Counts,14906.76,20181.64,32073.92,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22979.62,31634.18,0.00,


 16:37:09
Interval Count,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.17,0.00,0.00,
Average m/min.,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.47,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.32,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22980.79,31634.18,0.00,


 16:38:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.49,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.51,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.28,31634.18,0.00,


 16:39:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.51,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.28,31634.18,0.00,


 16:40:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.51,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.28,31634.18,0.00,


 16:41:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.52,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.29,31634.18,0.00,


 16:42:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.52,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.29,31634.18,0.00,


 16:43:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.52,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.29,31634.18,0.00,


 16:44:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.52,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.29,31634.18,0.00,


 16:45:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.18,0.00,


 16:46:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.18,0.00,


 16:47:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.18,0.00,


 16:48:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.67,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.18,0.00,


 16:49:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,
Distance,5962.71,8072.66,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.68,0.00,
Total Counts,14906.76,20181.64,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.21,0.00,


 16:50:09
Interval Count,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,
Average m/min.,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,
Distance,5962.71,8072.69,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20181.72,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 16:51:09
Interval Count,0.00,3.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,1.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8074.15,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20185.37,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 16:52:09
Interval Count,0.00,2.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.08,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20187.71,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 16:53:09
Interval Count,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.17,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20187.92,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 16:54:09
Interval Count,0.00,1.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 16:55:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 16:56:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 16:57:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.60,0.01,7189.92,6587.86,8239.25,11433.21,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.00,0.03,17974.79,16469.66,20598.12,28583.03,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 16:58:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.60,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.00,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 16:59:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.60,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.00,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:00:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.60,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.00,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:01:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.60,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.00,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:02:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.60,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.00,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:03:09
Interval Count,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.64,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.09,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:04:09
Interval Count,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.66,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.16,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:05:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.66,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.16,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:06:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.66,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.16,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:07:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.66,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.16,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:08:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.66,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.16,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:09:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.66,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.19,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.16,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19092.99,5410.39,11740.57,22981.37,31634.41,0.00,


 17:10:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.66,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.36,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.16,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19093.41,5410.39,11740.57,22981.37,31634.41,0.00,


 17:11:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,5962.71,8075.70,12829.66,0.01,7189.92,6587.86,8239.25,11434.31,11.05,7637.36,2164.16,4696.23,9192.55,12653.76,0.00,
Total Counts,14906.76,20189.25,32074.16,0.03,17974.79,16469.66,20598.12,28585.76,27.63,19093.41,5410.39,11740.57,22981.37,31634.41,0.00,


 17:12:09
Interval Count,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
