,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,
,,USB Interface REV 2 [2-FTV64L2L],,,,,,,,,,,,,
,     Experiment Name: Wolff_5-17-2017,,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,
,     Start Time: 6/2/2017 12:17:21,,,,,,,,,,,,,,
,     Stop Time: ~6/12/2017 12:17:21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interface/Port, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15
Counter/Animal ID, , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 06/02/2017 12:09:52
Total Counts,26.66,0.01,49.2,2.38,4.12,27.53,0.01,4.63,0.2,0.01,0.01,0.01,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:21:52
Interval Count,0.3,0,22.96,1.33,8.5,14.08,0,2.71,0,1.82,1.33,0.14,0,0,0
Average m/min.,0.12,0,9.17,0.53,3.4,5.63,0,1.09,0,0.72,0.53,0.05,0,0,0
Distance,10.78,0.01,28.86,1.48,5.05,16.64,0.01,2.94,0.08,0.73,0.54,0.06,0.01,0,0.01
Total Counts,26.96,0.01,72.16,3.71,12.62,41.61,0.01,7.34,0.2,1.83,1.34,0.16,0.01,0,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:22:52
Interval Count,1.21,0,0,12.61,1.08,1.14,0,5.24,0.51,0.09,1.59,3.22,2.86,1.78,0
Average m/min.,0.49,0,0,5.05,0.43,0.46,0,2.09,0.2,0.04,0.63,1.29,1.14,0.71,0
Distance,11.27,0.01,28.86,6.53,5.48,17.1,0.01,5.03,0.28,0.77,1.17,1.35,1.15,0.71,0.01
Total Counts,28.17,0.01,72.16,16.32,13.7,42.75,0.01,12.58,0.71,1.92,2.93,3.38,2.87,1.78,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:23:52
Interval Count,0.09,0.33,23.25,6.3,0.03,32.24,6.3,16.12,0.22,1.17,0.43,2.18,1.51,8.28,0
Average m/min.,0.04,0.13,9.3,2.52,0.01,12.91,2.52,6.46,0.09,0.47,0.18,0.88,0.6,3.31,0
Distance,11.31,0.14,38.16,9.05,5.49,29.99,2.53,11.48,0.37,1.24,1.35,2.23,1.75,4.02,0.01
Total Counts,28.26,0.34,95.41,22.62,13.72,74.99,6.32,28.7,0.93,3.09,3.37,5.57,4.38,10.05,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:24:52
Interval Count,0.11,19.29,38.13,30.87,1.37,31.62,8.13,19.18,0.61,4.87,7.26,1.09,4.17,3.24,0
Average m/min.,0.04,7.7,15.24,12.33,0.55,12.64,3.25,7.66,0.25,1.94,2.9,0.43,1.67,1.3,0
Distance,11.35,7.85,53.42,21.39,6.04,42.64,5.78,19.15,0.62,3.18,4.25,2.66,3.42,5.32,0.01
Total Counts,28.37,19.63,133.54,53.49,15.09,106.61,14.45,47.88,1.54,7.96,10.63,6.66,8.55,13.29,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:25:52
Interval Count,0,19.41,14.82,29.62,0.18,12.82,8.82,0.12,0.12,21.63,0.8,2,0.75,0,0
Average m/min.,0,7.77,5.92,11.86,0.07,5.13,3.53,0.05,0.04,8.66,0.32,0.8,0.3,0,0
Distance,11.35,15.62,59.34,33.24,6.11,47.77,9.31,19.2,0.66,11.84,4.57,3.46,3.72,5.32,0.01
Total Counts,28.37,39.04,148.36,83.11,15.28,119.42,23.26,48,1.66,29.59,11.43,8.66,9.3,13.29,0.01
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 12:26:52
Interval Count,0.03,0.34,43.95,40.22,0.63,0.3,1.58,0.46,0.64,0.08,11.37,0.2,4.42,0,0
Average m/min.,0.01,0.13,17.58,16.09,0.25,0.12,0.63,0.18,0.26,0.03,4.55,0.08,1.77,0,0
