,Activity Wheel Software from Lafayette Instrument Company.,,,,,,,,,,,,,,
,Version 11.16.5338.19188,,,,,,,,,,,,,,
,Experiment Setup:,,,,,,,,,,,,,,
,Connected Hardware:,,,,,,,,,,,,,,
,,USB Interface REV 2 [1-FTV64L2L],,,,,,,,,,,,,
,     Experiment Name: RennnerRW_10-14-2016-OFT,,,,,,,,,,,,,,
,     Experiment Length: 10 Days,,,,,,,,,,,,,,
,     Download Interval(Active Cycle): 1 Minute,,,,,,,,,,,,,,
,     Date Format: M/d/yyyy,,,,,,,,,,,,,,
,     Time Format: H:mm:ss,,,,,,,,,,,,,,
,     Start Time: 10/14/2016 15:31:05,,,,,,,,,,,,,,
,     Stop Time: ~10/24/2016 15:31:05,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12, 1-13, 1-14, 1-15
Counter/Animal ID, , , , , , , , , , , , , , , 
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 10/14/2016 15:23:36
Total Counts,194.45,348.84,114.39,237.54,348.7,273.01,367.47,15.38,100.08,68.88,81.86,106.78,68.13,394.2,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:55:37
Interval Count,0,1.43,50.51,2.04,3.28,48.7,2.96,0,4.97,1.87,0.33,33.62,0.88,22.33,0
Average m/min.,0,0.57,20.18,0.81,1.31,19.45,1.18,0,1.99,0.75,0.13,13.45,0.36,8.93,0
Distance,77.78,140.11,65.96,95.83,140.79,128.68,148.17,6.15,42.02,28.3,32.87,56.16,27.61,166.61,0
Total Counts,194.45,350.28,164.91,239.58,351.97,321.71,370.43,15.38,105.05,70.75,82.18,140.39,69.01,416.53,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:56:37
Interval Count,0,0,10.67,15.33,43.05,0,19.24,0,0.34,14.88,4.87,0.25,0,0.92,0
Average m/min.,0,0,4.27,6.13,17.23,0,7.7,0,0.14,5.95,1.95,0.1,0,0.37,0
Distance,77.78,140.11,70.23,101.96,158.01,128.68,155.87,6.15,42.16,34.25,34.82,56.26,27.61,166.98,0
Total Counts,194.45,350.28,175.58,254.91,395.03,321.71,389.67,15.38,105.39,85.63,87.05,140.64,69.01,417.45,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:57:37
Interval Count,0,0,7.32,55.58,44.08,0,35.5,0,0.03,0.07,0.59,0,15.37,17.14,0
Average m/min.,0,0,2.93,22.2,17.61,0,14.19,0,0.01,0.03,0.24,0,6.14,6.86,0
Distance,77.78,140.11,73.16,124.19,175.64,128.68,170.07,6.15,42.17,34.28,35.06,56.26,33.75,173.84,0
Total Counts,194.45,350.28,182.89,310.49,439.11,321.71,425.17,15.38,105.42,85.7,87.64,140.64,84.38,434.59,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:58:37
Interval Count,1.84,24.04,5.2,5.72,22.42,0,43.55,0,0.26,0.82,0.51,2.09,51.59,21.95,0
Average m/min.,0.74,9.62,2.08,2.29,8.98,0,17.43,0,0.1,0.33,0.2,0.83,20.64,8.78,0
Distance,78.52,149.73,75.24,126.48,184.61,128.68,187.49,6.15,42.27,34.61,35.26,57.09,54.39,182.62,0
Total Counts,196.29,374.32,188.09,316.21,461.53,321.71,468.72,15.38,105.68,86.51,88.16,142.74,135.97,456.54,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 15:59:37
Interval Count,30.43,45.75,3.83,0,0,0,43.87,0,0.93,0,2.61,11.24,45.33,34.84,0
Average m/min.,12.16,18.28,1.53,0,0,0,17.52,0,0.38,0,1.05,4.5,18.12,13.92,0
Distance,90.69,168.03,76.77,126.48,184.61,128.68,205.04,6.15,42.65,34.61,36.31,61.59,72.52,196.55,0
Total Counts,226.72,420.07,191.92,316.21,461.53,321.71,512.59,15.38,106.62,86.51,90.76,153.97,181.3,491.38,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 16:00:37
Interval Count,33.21,41.93,0,0,25.5,2.11,0.36,0,1.91,0.26,0.95,1.12,0.92,44.55,0
Average m/min.,13.28,16.78,0,0,10.21,0.85,0.14,0,0.76,0.1,0.37,0.45,0.37,17.82,0
Distance,103.97,184.8,76.77,126.48,194.81,129.53,205.18,6.15,43.41,34.71,36.68,62.04,72.89,214.37,0
Total Counts,259.93,462,191.92,316.21,487.03,323.82,512.95,15.38,108.53,86.78,91.71,155.09,182.22,535.93,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 16:01:37
Interval Count,21.22,54.58,0.95,0.14,0,23.86,4,0,5.79,0.36,0,5.43,43.5,11.88,0
Average m/min.,8.49,21.82,0.38,0.06,0,9.52,1.6,0,2.32,0.14,0,2.17,17.39,4.76,0
Distance,112.46,206.63,77.15,126.54,194.81,139.07,206.78,6.15,45.73,34.85,36.68,64.21,90.29,219.13,0
Total Counts,281.16,516.58,192.87,316.36,487.03,347.67,516.95,15.38,114.32,87.13,91.71,160.53,225.72,547.82,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 16:02:37
Interval Count,16.53,24.78,0.05,0,0,5.91,0,0,1.61,1.01,2.14,10.62,35.58,22.46,0
Average m/min.,6.61,9.91,0.02,0,0,2.36,0,0,0.64,0.41,0.86,4.25,14.23,8.98,0
Distance,119.07,216.54,77.17,126.54,194.81,141.43,206.78,6.15,46.37,35.26,37.54,68.46,104.52,228.11,0
Total Counts,297.68,541.36,192.92,316.36,487.03,353.58,516.95,15.38,115.92,88.14,93.86,171.14,261.3,570.28,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 16:03:37
Interval Count,27.3,20.17,1.89,4.53,0,5.14,0.64,0,0,14.34,0.36,0,2.55,0,0
Average m/min.,10.92,8.07,0.76,1.81,0,2.06,0.26,0,0,5.72,0.14,0,1.02,0,0
Distance,129.99,224.61,77.93,128.35,194.81,143.49,207.04,6.15,46.37,40.99,37.68,68.46,105.54,228.11,0
Total Counts,324.99,561.53,194.82,320.88,487.03,358.72,517.59,15.38,115.92,102.49,94.21,171.14,263.86,570.28,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 16:04:37
Interval Count,0,42.79,0.93,9.36,0,6.14,13.04,0,0,3.86,0.46,0,0,0.13,0
Average m/min.,0,17.11,0.37,3.74,0,2.46,5.22,0,0,1.55,0.19,0,0,0.05,0
Distance,129.99,241.73,78.3,132.09,194.81,145.95,212.25,6.15,46.37,42.54,37.87,68.46,105.54,228.16,0
Total Counts,324.99,604.32,195.75,330.24,487.03,364.87,530.63,15.38,115.92,106.34,94.67,171.14,263.86,570.41,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 16:05:37
Interval Count,0,14.2,1.08,0,0,0.05,0,1.01,1.58,0,0.66,0,0,4.05,0
Average m/min.,0,5.68,0.43,0,0,0.02,0,0.41,0.63,0,0.26,0,0,1.62,0
Distance,129.99,247.41,78.73,132.09,194.81,145.97,212.25,6.56,47,42.54,38.13,68.46,105.54,229.78,0
Total Counts,324.99,618.51,196.83,330.24,487.03,364.92,530.63,16.39,117.5,106.34,95.33,171.14,263.86,574.46,0
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
 16:06:37
Interval Count,0,17.55,2.26,0,0,0,0.39,0,0.16,0,0.91,0,0,2.18,0
Average m/min.,0,7.02,0.91,0,0,0,0.16,0,0.06,0,0.36,0,0,0.88,0
Distance,129.99,254.43,79.64,132.09,194.81,145.97,212.41,6.56,47.06,42.54,38.49,68.46,105.54,230.66,0
Total Counts,324.99,636.07,199.09,330.24,487.03,364.92,531.03,16.39,117.66,106.34,96.24,171.14,263.86,576.64,0
,,,,,,,,,,,,,,,
