Test	Animal	Treatment	Code	Stage	Trial	Apparatus	Segment of test	Distance	Mean speed	Time mobile	Time immobile	A : entries	A : time	A : distance	A : mean distance from	A : mean distance to border	B : entries	B : time	B : distance	B : mean distance from	B : mean distance to border	C : entries	C : time	C : distance	C : mean distance from	C : mean distance to border	A0 : entries	A0 : time	A0 : distance	A0 : mean distance from	A0 : mean distance to border	Center : entries	Center : time	Center : distance	Center : mean distance from	Center : mean distance to border	Group	ID
18	18	A	A	First stage	1	Y Maze Wolff	228 - 229 secs.	0.021	0.021	0.9	0.1	0	1.0	0.021		0.022	0	0.0	0.000	0.333		0	0.0	0.000	0.318		0	0.0	0.000	0.030		0	0.0	0.000	0.272		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	229 - 230 secs.	0.114	0.114	1.0	0.0	0	0.2	0.069	0.059	0.023	0	0.0	0.000	0.408		0	0.0	0.000	0.390		1	0.9	0.044	0.025	0.018	0	0.0	0.000	0.346		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	230 - 231 secs.	0.068	0.068	1.0	0.0	0	0.0	0.000	0.103		0	0.0	0.000	0.465		0	0.0	0.000	0.445		0	1.0	0.068		0.018	0	0.0	0.000	0.402		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	231 - 232 secs.	0.000	0.000	1.0	0.0	0	0.0	0.000	0.095		0	0.0	0.000	0.457		0	0.0	0.000	0.437		0	1.0	0.000		0.017	0	0.0	0.000	0.394		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	232 - 233 secs.	0.067	0.067	1.0	0.0	0	0.0	0.000	0.071		0	0.0	0.000	0.433		0	0.0	0.000	0.413		0	1.0	0.067		0.018	0	0.0	0.000	0.370		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	233 - 234 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.032		0	0.0	0.000	0.396		0	0.0	0.000	0.374		0	1.0	0.000		0.013	0	0.0	0.000	0.332		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	234 - 235 secs.	0.020	0.020	0.0	1.0	0	0.0	0.000	0.027		0	0.0	0.000	0.391		0	0.0	0.000	0.368		0	1.0	0.020		0.012	0	0.0	0.000	0.327		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	235 - 236 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.026		0	0.0	0.000	0.390		0	0.0	0.000	0.367		0	1.0	0.000		0.012	0	0.0	0.000	0.325		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	236 - 237 secs.	0.000	0.000	0.0	1.0	0	0.0	0.000	0.025		0	0.0	0.000	0.389		0	0.0	0.000	0.366		0	1.0	0.000		0.013	0	0.0	0.000	0.324		Irrad-Wheel	12
18	18	A	A	First stage	1	Y Maze Wolff	237 - 238 secs.	0.000	0.000	0.6	0.4	0	0.0	0.000	0.024		0	0.0	0.000	0.384		0	0.0	0.000	0.368		0	1.0	0.000		0.018	0	0.0	0.000	0.322		Irrad-Wheel	12
