,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: 3-31-17_SR_OF
,     Experiment Length: 6 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/31/2017 12:59:28
,     Stop Time: ~4/6/2017 12:59:28


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Interval Count,15.41,45.18,2.89,26.87,25.32,0.00,18.16,8.24,0.00,0.51,0.00,13.53,4.45,10.61,26.45,39.53,
Average m/min.,6.16,18.07,1.16,10.75,10.13,0.00,7.28,3.29,0.00,0.21,0.00,5.41,1.77,4.24,10.58,15.82,
Distance,27.09,144.14,49.04,133.48,37.33,40.12,16.56,111.53,8.97,4.90,13.72,42.23,5.89,10.65,31.46,56.87,
Total Counts,67.74,360.34,122.61,333.70,93.32,100.30,41.39,278.83,22.43,12.25,34.30,105.57,14.74,26.62,78.64,142.18,


 13:10:59
Interval Count,3.25,25.67,26.55,22.92,4.59,0.00,14.42,19.78,0.00,0.80,0.00,6.05,0.82,4.75,36.82,41.74,
Average m/min.,1.30,10.27,10.61,9.16,1.83,0.00,5.77,7.91,0.00,0.32,0.00,2.42,0.33,1.90,14.71,16.68,
Distance,28.39,154.41,59.66,142.65,39.16,40.12,22.33,119.44,8.97,5.22,13.72,44.65,6.22,12.55,46.18,73.57,
Total Counts,70.99,386.01,149.16,356.62,97.91,100.30,55.82,298.61,22.43,13.05,34.30,111.62,15.55,31.37,115.46,183.92,


 13:11:59
Interval Count,0.05,18.04,10.47,23.38,24.01,0.12,33.14,3.67,0.00,0.26,1.49,0.03,2.09,6.71,8.95,0.03,
Average m/min.,0.03,7.21,4.19,9.35,9.61,0.05,13.24,1.47,0.00,0.11,0.60,0.01,0.84,2.68,3.58,0.01,
Distance,28.42,161.62,63.85,152.00,48.77,40.17,35.58,120.91,8.97,5.33,14.32,44.66,7.06,15.23,49.76,73.58,
Total Counts,71.04,404.05,159.63,380.00,121.92,100.42,88.96,302.28,22.43,13.32,35.79,111.64,17.64,38.08,124.41,183.95,


 13:12:59
Interval Count,0.00,41.30,4.96,30.57,12.04,0.00,19.70,1.36,0.00,0.00,0.13,0.00,0.00,24.62,3.84,0.13,
Average m/min.,0.00,16.51,1.99,12.23,4.81,0.00,7.89,0.54,0.00,0.00,0.05,0.00,0.00,9.85,1.54,0.05,
Distance,28.42,178.14,65.84,164.23,53.58,40.17,43.46,121.45,8.97,5.33,14.37,44.66,7.06,25.08,51.30,73.63,
Total Counts,71.04,445.36,164.59,410.57,133.96,100.42,108.66,303.63,22.43,13.32,35.92,111.64,17.64,62.70,128.25,184.08,


 13:13:59
Interval Count,0.80,24.08,0.00,2.55,6.62,0.00,13.87,0.00,0.00,0.58,8.66,5.05,0.00,9.75,28.21,11.71,
Average m/min.,0.32,9.62,0.00,1.02,2.65,0.00,5.54,0.00,0.00,0.23,3.46,2.02,0.00,3.90,11.27,4.68,
Distance,28.74,187.77,65.84,165.25,56.23,40.17,49.01,121.45,8.97,5.56,17.83,46.68,7.06,28.98,62.58,78.32,
Total Counts,71.84,469.43,164.59,413.12,140.58,100.42,122.53,303.63,22.43,13.89,44.58,116.70,17.64,72.45,156.46,195.79,


 13:14:59
Interval Count,0.00,3.67,0.00,7.66,1.11,0.00,3.18,0.00,0.46,2.05,21.12,0.00,0.00,0.00,34.99,54.83,
Average m/min.,0.00,1.47,0.00,3.06,0.44,0.00,1.27,0.00,0.19,0.82,8.44,0.00,0.00,0.00,14.01,21.95,
Distance,28.74,189.24,65.84,168.31,56.67,40.17,50.28,121.45,9.16,6.38,26.28,46.68,7.06,28.98,76.58,100.25,
Total Counts,71.84,473.11,164.59,420.78,141.68,100.42,125.71,303.63,22.89,15.95,65.70,116.70,17.64,72.45,191.45,250.62,


 13:15:59
Interval Count,0.00,49.38,0.01,17.41,0.00,0.00,13.09,4.33,0.00,0.09,18.88,8.33,0.00,0.00,12.46,43.07,
Average m/min.,0.00,19.74,0.00,6.96,0.00,0.00,5.24,1.73,0.00,0.04,7.55,3.33,0.00,0.00,4.98,17.21,
Distance,28.74,208.99,65.84,175.27,56.67,40.17,55.52,123.18,9.16,6.42,33.83,50.01,7.06,28.98,81.56,117.47,
Total Counts,71.84,522.49,164.61,438.18,141.68,100.42,138.80,307.96,22.89,16.04,84.58,125.03,17.64,72.45,203.91,293.68,


 13:16:59
Interval Count,0.00,53.33,0.00,9.20,1.32,0.00,15.67,20.11,0.00,0.00,11.66,6.25,0.00,17.66,18.82,58.45,
Average m/min.,0.00,21.33,0.00,3.68,0.53,0.00,6.26,8.04,0.00,0.00,4.66,2.50,0.00,7.06,7.53,23.36,
Distance,28.74,230.33,65.84,178.95,57.20,40.17,61.79,131.23,9.16,6.42,38.49,52.51,7.06,36.04,89.09,140.85,
Total Counts,71.84,575.82,164.61,447.38,143.00,100.42,154.47,328.07,22.89,16.04,96.24,131.28,17.64,90.11,222.72,352.13,


 13:17:59
Interval Count,0.20,44.29,23.51,22.50,0.00,0.00,29.21,34.32,0.00,0.00,19.16,6.63,0.00,12.62,0.24,45.92,
Average m/min.,0.08,17.71,9.41,9.01,0.00,0.00,11.68,13.72,0.00,0.00,7.67,2.65,0.00,5.05,0.09,18.38,
Distance,28.82,248.04,75.25,187.95,57.20,40.17,73.47,144.95,9.16,6.42,46.16,55.16,7.06,41.09,89.18,159.22,
Total Counts,72.04,620.11,188.12,469.88,143.00,100.42,183.68,362.38,22.89,16.04,115.39,137.91,17.64,102.72,222.96,398.05,


 13:18:59
Interval Count,0.00,13.05,54.12,10.54,0.00,0.00,32.16,0.13,0.14,0.86,0.00,0.24,0.55,0.00,41.14,22.55,
Average m/min.,0.00,5.22,21.64,4.22,0.00,0.00,12.88,0.06,0.06,0.34,0.00,0.10,0.22,0.00,16.46,9.02,
Distance,28.82,253.26,96.89,192.17,57.20,40.17,86.34,145.01,9.22,6.76,46.16,55.26,7.28,41.09,105.64,168.24,
Total Counts,72.04,633.16,242.24,480.42,143.00,100.42,215.84,362.51,23.04,16.89,115.39,138.14,18.20,102.72,264.11,420.61,


 13:19:59
Interval Count,0.03,0.68,24.75,47.24,40.58,0.00,6.07,1.91,6.88,0.05,14.37,11.71,0.01,0.00,12.16,0.55,
Average m/min.,0.01,0.28,9.89,18.87,16.21,0.00,2.42,0.76,2.75,0.02,5.74,4.68,0.00,0.00,4.87,0.22,
Distance,28.83,253.54,106.79,211.06,73.43,40.17,88.76,145.77,11.97,6.78,51.91,59.94,7.28,41.09,110.51,168.46,
