,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_OF_3-13-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/22/2017 17:19:43
,     Stop Time: ~4/1/2017 17:19:43


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, , , , , , , , , , , , , , , , ,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Average m/min.,0.31,6.40,0.03,6.10,0.60,0.00,0.00,3.29,0.62,0.81,0.03,2.99,1.18,2.59,1.10,9.17,
Distance,55.37,47.25,22.05,55.04,42.93,19.33,0.02,41.17,5.15,6.86,17.12,14.83,2.73,26.41,12.38,49.63,
Total Counts,138.43,118.12,55.13,137.59,107.33,48.33,0.05,102.92,12.87,17.14,42.80,37.07,6.83,66.03,30.95,124.08,


 17:32:14
Interval Count,0.09,12.22,0.00,43.43,0.21,0.03,0.00,16.47,2.62,3.09,0.42,1.32,9.55,1.21,2.21,18.34,
Average m/min.,0.04,4.89,0.00,17.35,0.09,0.01,0.00,6.59,1.04,1.23,0.17,0.52,3.82,0.48,0.88,7.33,
Distance,55.41,52.14,22.05,72.41,43.02,19.34,0.02,47.76,6.19,8.09,17.29,15.35,6.55,26.89,13.26,56.97,
Total Counts,138.53,130.34,55.13,181.03,107.54,48.36,0.05,119.39,15.49,20.24,43.22,38.38,16.38,67.24,33.16,142.42,


 17:33:14
Interval Count,0.00,28.87,0.00,17.17,0.67,0.00,0.00,24.05,0.89,0.96,8.79,6.86,0.00,0.78,0.00,0.00,
Average m/min.,0.00,11.54,0.00,6.88,0.26,0.00,0.00,9.62,0.36,0.39,3.52,2.74,0.00,0.32,0.00,0.00,
Distance,55.41,63.68,22.05,79.28,43.28,19.34,0.02,57.38,6.55,8.48,20.81,18.09,6.55,27.21,13.26,56.97,
Total Counts,138.53,159.21,55.13,198.20,108.21,48.36,0.05,143.45,16.38,21.20,52.01,45.24,16.38,68.01,33.16,142.42,


 17:34:14
Interval Count,0.11,0.00,0.03,24.87,0.75,0.03,0.00,0.00,0.39,0.67,3.12,11.03,0.01,4.01,0.00,0.09,
Average m/min.,0.04,0.00,0.01,9.94,0.30,0.01,0.00,0.00,0.16,0.27,1.24,4.42,0.01,1.60,0.00,0.04,
Distance,55.45,63.68,22.06,89.23,43.58,19.35,0.02,57.38,6.71,8.75,22.05,22.51,6.56,28.81,13.26,57.01,
Total Counts,138.63,159.21,55.16,223.07,108.96,48.38,0.05,143.45,16.78,21.87,55.13,56.26,16.39,72.03,33.16,142.51,


 17:35:14
Interval Count,0.00,0.36,0.00,49.79,4.61,0.05,0.00,17.12,0.00,0.88,0.00,8.13,0.36,4.24,0.00,0.62,
Average m/min.,0.00,0.15,0.00,19.92,1.85,0.02,0.00,6.85,0.00,0.35,0.00,3.25,0.14,1.70,0.00,0.24,
Distance,55.45,63.83,22.06,109.14,45.43,19.37,0.02,64.23,6.71,9.10,22.05,25.76,6.70,30.51,13.26,57.25,
Total Counts,138.63,159.57,55.16,272.86,113.57,48.43,0.05,160.57,16.78,22.75,55.13,64.39,16.75,76.26,33.16,143.13,


 17:36:14
Interval Count,0.00,4.07,0.00,11.53,17.07,0.49,0.00,6.17,0.55,0.26,0.00,7.24,0.07,0.05,0.00,24.26,
Average m/min.,0.00,1.62,0.00,4.61,6.81,0.20,0.00,2.46,0.22,0.11,0.00,2.89,0.03,0.02,0.00,9.70,
Distance,55.45,65.45,22.06,113.75,52.25,19.57,0.02,66.69,6.93,9.21,22.05,28.65,6.73,30.53,13.26,66.96,
