,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_OF_3-13-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 3/27/2017 10:21:50
,     Stop Time: ~4/6/2017 10:21:50


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,7.86,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,19.66,40.36,2.68,22.86,4.07,53.32,


 15:22:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,7.86,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,19.66,40.36,2.68,22.86,4.07,53.32,


 15:23:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,7.86,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,19.66,40.36,2.68,22.86,4.07,53.32,


 15:24:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.51,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:25:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:26:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:27:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:28:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:29:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:30:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:31:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:32:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:33:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:34:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:35:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:36:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:37:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.44,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.09,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:38:25
Interval Count,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:39:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:40:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:41:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:42:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:43:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:44:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:45:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:46:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:47:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:48:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:49:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:50:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:51:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:52:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:53:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:54:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:55:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:56:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:57:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:58:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 15:59:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 16:00:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 16:01:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.33,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.32,


 16:02:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.35,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.37,


 16:03:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.35,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.37,


 16:04:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.14,1.07,9.14,1.63,21.35,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.36,2.68,22.86,4.07,53.37,


 16:05:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.19,1.07,9.14,1.63,21.35,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.47,2.68,22.86,4.07,53.37,


 16:06:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.19,1.07,9.14,1.63,21.35,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.47,2.68,22.86,4.07,53.37,


 16:07:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Average m/min.,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Distance,4.49,52.91,0.58,20.67,8.48,0.56,6.08,13.61,2.56,2.99,8.47,16.19,1.07,9.14,1.63,21.35,
Total Counts,11.24,132.26,1.45,51.68,21.21,1.41,15.21,34.01,6.41,7.47,21.17,40.47,2.68,22.86,4.07,53.37,


 16:08:25
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
