,Activity Wheel Software from Lafayette Instrument Company.
,Version 11.16.5338.19188
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1-FTDH63QW]
,,USB Interface REV 2 [2-FTV64L2L]
,     Experiment Name: Wolff_Y_maze_8-15-17
,     Experiment Length: 10 Days
,     Download Interval(Active Cycle): 1 Minute
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 9/2/2017 15:39:45
,     Stop Time: ~9/12/2017 15:39:45


Interface/Port, 1-1, 2-1, 2-2, 2-3, 2-4, 2-5, 2-6, 2-7, 2-8, 2-9, 2-10, 2-11, 2-12, 2-13, 2-14, 2-15,
Counter/Animal ID, 16, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15,
Cage Type,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,Mouse,



Interval Count,4.68,0.00,0.21,0.05,0.01,0.80,0.00,0.00,0.00,0.00,23.07,3.99,27.32,11.92,7.09,0.00,
Average m/min.,1.88,0.00,0.09,0.02,0.00,0.32,0.00,0.00,0.00,0.00,9.22,1.60,10.91,4.76,2.84,0.00,
Distance,50.83,96.05,26.33,44.24,7.88,3.88,0.01,1.82,27.81,7.03,58.20,21.04,44.59,19.48,17.33,0.02,
Total Counts,127.07,240.13,65.82,110.61,19.71,9.70,0.01,4.54,69.51,17.58,145.50,52.59,111.49,48.71,43.32,0.05,


 15:53:17
Interval Count,25.79,22.59,12.12,12.71,0.00,3.70,0.00,0.00,1.16,0.00,40.80,0.00,7.21,38.37,3.03,0.00,
Average m/min.,10.31,9.04,4.84,5.09,0.00,1.48,0.00,0.00,0.46,0.00,16.33,0.00,2.89,15.35,1.21,0.00,
Distance,61.14,105.09,31.17,49.33,7.88,5.36,0.01,1.82,28.27,7.03,74.52,21.04,47.48,34.83,18.54,0.02,
Total Counts,152.86,262.72,77.93,123.32,19.71,13.39,0.01,4.54,70.67,17.58,186.30,52.59,118.70,87.08,46.34,0.05,


 15:54:17
Interval Count,13.95,60.63,47.05,8.92,0.74,0.00,0.00,0.00,6.21,0.00,31.38,0.00,0.00,1.26,5.21,0.00,
Average m/min.,5.58,24.25,18.83,3.56,0.30,0.00,0.00,0.00,2.48,0.00,12.54,0.00,0.00,0.51,2.08,0.00,
Distance,66.72,129.34,49.99,52.89,8.18,5.36,0.01,1.82,30.75,7.03,87.07,21.04,47.48,35.34,20.62,0.02,
Total Counts,166.80,323.36,124.99,132.24,20.45,13.39,0.01,4.54,76.88,17.58,217.68,52.59,118.70,88.34,51.55,0.05,


 15:55:17
Interval Count,2.45,22.71,9.62,7.03,4.03,0.58,0.00,0.00,0.00,0.00,10.92,3.49,0.00,20.03,17.32,0.00,
Average m/min.,0.98,9.08,3.85,2.82,1.61,0.23,0.00,0.00,0.00,0.00,4.37,1.39,0.00,8.01,6.92,0.00,
Distance,67.70,138.43,53.84,55.71,9.79,5.59,0.01,1.82,30.75,7.03,91.44,22.43,47.48,43.35,27.55,0.02,
Total Counts,169.25,346.07,134.61,139.26,24.47,13.97,0.01,4.54,76.88,17.58,228.61,56.08,118.70,108.37,68.87,0.05,


 15:56:17
Interval Count,10.93,16.39,0.42,0.00,35.72,0.00,0.00,1.71,0.00,0.00,29.79,0.00,0.00,0.03,0.00,0.00,
Average m/min.,4.37,6.55,0.17,0.00,14.30,0.00,0.00,0.68,0.00,0.00,11.91,0.00,0.00,0.01,0.00,0.00,
Distance,72.07,144.98,54.01,55.71,24.08,5.59,0.01,2.50,30.75,7.03,103.36,22.43,47.48,43.36,27.55,0.02,
Total Counts,180.18,362.46,135.03,139.26,60.20,13.97,0.01,6.25,76.88,17.58,258.39,56.08,118.70,108.39,68.87,0.05,


 15:57:17
Interval Count,40.58,0.00,0.62,0.00,10.12,0.00,0.00,0.00,0.00,0.00,5.05,0.57,22.99,0.00,0.00,0.00,
Average m/min.,16.23,0.00,0.25,0.00,4.05,0.00,0.00,0.00,0.00,0.00,2.02,0.23,9.19,0.00,0.00,0.00,
Distance,88.31,144.98,54.26,55.71,28.13,5.59,0.01,2.50,30.75,7.03,105.38,22.66,56.67,43.36,27.55,0.02,
Total Counts,220.76,362.46,135.64,139.26,70.32,13.97,0.01,6.25,76.88,17.58,263.45,56.64,141.68,108.39,68.87,0.05,


 15:58:17
Interval Count,20.70,0.00,0.00,0.00,16.96,0.00,0.00,0.00,0.00,0.00,0.05,3.01,41.42,0.96,0.00,0.00,
Average m/min.,8.27,0.00,0.00,0.00,6.78,0.00,0.00,0.00,0.00,0.00,0.02,1.20,16.57,0.38,0.00,0.00,
Distance,96.58,144.98,54.26,55.71,34.91,5.59,0.01,2.50,30.75,7.03,105.40,23.86,73.24,43.74,27.55,0.02,
Total Counts,241.46,362.46,135.64,139.26,87.28,13.97,0.01,6.25,76.88,17.58,263.50,59.66,183.11,109.36,68.87,0.05,


 15:59:17
Interval Count,1.25,0.00,0.00,0.00,6.80,0.00,0.00,0.00,0.00,4.16,2.91,0.75,0.92,1.92,0.79,0.00,
Average m/min.,0.50,0.00,0.00,0.00,2.72,0.00,0.00,0.00,0.00,1.66,1.16,0.30,0.37,0.77,0.31,0.00,
Distance,97.08,144.98,54.26,55.71,37.63,5.59,0.01,2.50,30.75,8.69,106.56,24.16,73.61,44.51,27.86,0.02,
Total Counts,242.71,362.46,135.64,139.26,94.08,13.97,0.01,6.25,76.88,21.74,266.41,60.41,184.03,111.28,69.66,0.05,


 16:00:17
Interval Count,22.84,0.00,0.00,0.00,2.01,3.18,0.00,0.00,0.00,1.26,0.00,6.13,1.59,1.93,6.01,0.00,
